product_id,hs4,atlas_color,,
636,5510,"(0, 176, 80)",,
637,5511,"(0, 176, 80)",,
638,5512,"(0, 176, 80)",,
639,5513,"(0, 176, 80)",,
640,5514,"(0, 176, 80)",,
641,5515,"(0, 176, 80)",,
642,5516,"(0, 176, 80)",,
643,5601,"(0, 176, 80)",,
644,5602,"(0, 176, 80)",,
645,5603,"(0, 176, 80)",,
646,5604,"(0, 176, 80)",,
647,5605,"(0, 176, 80)",,
648,5606,"(0, 176, 80)",,
649,5607,"(0, 176, 80)",,
650,5608,"(0, 176, 80)",,
651,5609,"(0, 176, 80)",,
652,5701,"(0, 176, 80)",,
653,5702,"(0, 176, 80)",,
654,5703,"(0, 176, 80)",,
655,5704,"(0, 176, 80)",,
656,5705,"(0, 176, 80)",,
657,5801,"(0, 176, 80)",,
658,5802,"(0, 176, 80)",,
659,5803,"(0, 176, 80)",,
660,5804,"(0, 176, 80)",,
661,5805,"(0, 176, 80)",,
662,5806,"(0, 176, 80)",,
663,5807,"(0, 176, 80)",,
664,5808,"(0, 176, 80)",,
665,5809,"(0, 176, 80)",,
666,5810,"(0, 176, 80)",,
667,5811,"(0, 176, 80)",,
668,5901,"(0, 176, 80)",,
669,5902,"(0, 176, 80)",,
670,5903,"(0, 176, 80)",,
671,5904,"(0, 176, 80)",,
672,5905,"(0, 176, 80)",,
673,5906,"(0, 176, 80)",,
674,5907,"(0, 176, 80)",,
675,5908,"(0, 176, 80)",,
676,5909,"(0, 176, 80)",,
677,5910,"(0, 176, 80)",,
678,5911,"(0, 176, 80)",,
679,6001,"(0, 176, 80)",,
680,6002,"(0, 176, 80)",,
681,6101,"(0, 176, 80)",,
682,6102,"(0, 176, 80)",,
683,6103,"(0, 176, 80)",,
684,6104,"(0, 176, 80)",,
685,6105,"(0, 176, 80)",,
686,6106,"(0, 176, 80)",,
687,6107,"(0, 176, 80)",,
688,6108,"(0, 176, 80)",,
689,6109,"(0, 176, 80)",,
690,6110,"(0, 176, 80)",,
691,6111,"(0, 176, 80)",,
692,6112,"(0, 176, 80)",,
693,6113,"(0, 176, 80)",,
694,6114,"(0, 176, 80)",,
695,6115,"(0, 176, 80)",,
696,6116,"(0, 176, 80)",,
697,6117,"(0, 176, 80)",,
698,6201,"(0, 176, 80)",,
699,6202,"(0, 176, 80)",,
700,6203,"(0, 176, 80)",,
701,6204,"(0, 176, 80)",,
702,6205,"(0, 176, 80)",,
703,6206,"(0, 176, 80)",,
704,6207,"(0, 176, 80)",,
705,6208,"(0, 176, 80)",,
706,6209,"(0, 176, 80)",,
707,6210,"(0, 176, 80)",,
708,6211,"(0, 176, 80)",,
709,6212,"(0, 176, 80)",,
710,6213,"(0, 176, 80)",,
711,6214,"(0, 176, 80)",,
712,6215,"(0, 176, 80)",,
713,6216,"(0, 176, 80)",,
714,6217,"(0, 176, 80)",,
715,6301,"(0, 176, 80)",,
716,6302,"(0, 176, 80)",,
717,6303,"(0, 176, 80)",,
718,6304,"(0, 176, 80)",,
719,6305,"(0, 176, 80)",,
720,6306,"(0, 176, 80)",,
721,6307,"(0, 176, 80)",,
722,6308,"(0, 176, 80)",,
723,6309,"(0, 176, 80)",,
724,6310,"(0, 176, 80)",,
725,6401,"(103, 203, 53)",,
726,6402,"(103, 203, 53)",,
727,6403,"(103, 203, 53)",,
728,6404,"(103, 203, 53)",,
729,6405,"(103, 203, 53)",,
730,6406,"(103, 203, 53)",,
731,6501,"(103, 203, 53)",,
732,6502,"(103, 203, 53)",,
733,6503,"(103, 203, 53)",,
734,6504,"(103, 203, 53)",,
735,6505,"(103, 203, 53)",,
736,6506,"(103, 203, 53)",,
737,6507,"(103, 203, 53)",,
738,6601,"(103, 203, 53)",,
739,6602,"(103, 203, 53)",,
740,6603,"(103, 203, 53)",,
741,6701,"(103, 203, 53)",,
742,6702,"(103, 203, 53)",,
743,6703,"(103, 203, 53)",,
744,6704,"(103, 203, 53)",,
745,6801,"(245, 106, 1)",,
746,6802,"(245, 106, 1)",,
747,6803,"(245, 106, 1)",,
748,6804,"(245, 106, 1)",,
749,6805,"(245, 106, 1)",,
750,6806,"(245, 106, 1)",,
751,6807,"(245, 106, 1)",,
752,6808,"(245, 106, 1)",,
753,6809,"(245, 106, 1)",,
754,6810,"(245, 106, 1)",,
755,6811,"(245, 106, 1)",,
756,6812,"(245, 106, 1)",,
757,6813,"(245, 106, 1)",,
758,6814,"(245, 106, 1)",,
759,6815,"(245, 106, 1)",,
760,6901,"(245, 106, 1)",,
761,6902,"(245, 106, 1)",,
762,6903,"(245, 106, 1)",,
763,6904,"(245, 106, 1)",,
764,6905,"(245, 106, 1)",,
765,6906,"(245, 106, 1)",,
766,6907,"(245, 106, 1)",,
767,6908,"(245, 106, 1)",,
768,6909,"(245, 106, 1)",,
769,6910,"(245, 106, 1)",,
770,6911,"(245, 106, 1)",,
771,6912,"(245, 106, 1)",,
772,6913,"(245, 106, 1)",,
773,6914,"(245, 106, 1)",,
774,7001,"(245, 106, 1)",,
775,7002,"(245, 106, 1)",,
776,7003,"(245, 106, 1)",,
777,7004,"(245, 106, 1)",,
778,7005,"(245, 106, 1)",,
